,GeoName,Income,Year,GeoFips
0,"Union, SD",91975,2010,46127
1,"Pitkin, CO",87923,2010,08097
2,"Potter, SD",85727,2010,46107
3,"Marin, CA",83247,2010,06041
4,"Arlington, VA",79214,2010,51013
5,"Sully, SD",77030,2010,46119
6,"Westchester, NY",75993,2010,36119
7,"Alexandria (Independent City), VA",75741,2010,51510
8,"Skagway Municipality, AK*",75653,2010,02230
9,"Midland, TX",75275,2010,48329
10,"San Francisco, CA",75267,2010,06075
11,"Shackelford, TX",74696,2010,48417
12,"Morris, NJ",73762,2010,34027
13,"San Mateo, CA",73095,2010,06081
14,"Bristol Bay Borough, AK",70722,2010,02060
15,"Montgomery, MD",70705,2010,24031
16,"Summit, UT",70520,2010,49043
17,"Hunterdon, NJ",69987,2010,34019
18,"Slope, ND",69947,2010,38087
19,"Nantucket, MA",69626,2010,25019
20,"Somerset, NJ",69195,2010,34035
21,"Goochland, VA",67996,2010,51075
22,"Williamson, TN",66261,2010,47187
23,"Fairfax, Fairfax City + Falls Church, VA*",66243,2010,51919
24,"Nassau, NY",65930,2010,36059
25,"Bergen, NJ",65576,2010,34003
26,"Norfolk, MA",65314,2010,25021
27,"Suffolk, MA",64434,2010,25025
28,"Howard, MD",63992,2010,24027
29,"Burke, ND",63777,2010,38013
30,"Loudoun, VA",63771,2010,51107
31,"District of Columbia, DC",63182,2010,11001
32,"Collier, FL",63015,2010,12021
33,"Ozaukee, WI",62598,2010,55089
34,"Denali Borough, AK*",62527,2010,02068
35,"Chester, PA",62256,2010,42029
36,"Kendall, TX",61916,2010,48259
37,"Monroe, FL",61347,2010,12087
38,"Los Alamos, NM",61004,2010,35028
39,"Blaine, ID",60917,2010,16013
40,"Santa Clara, CA",60863,2010,06085
41,"Steele, ND",60819,2010,38091
42,"Bristol, RI",60454,2010,44001
43,"Middlesex, MA",60261,2010,25017
44,"Montgomery, PA",59948,2010,42091
45,"Dukes, MA",59862,2010,25007
46,"Williams, ND",59540,2010,38105
47,"Fulton, GA",59433,2010,13121
48,"Haskell, KS",58505,2010,20081
49,"Cavalier, ND",58343,2010,38019
50,"King, TX",58021,2010,48269
51,"Lane, KS",58000,2010,20101
52,"Wichita, KS",57921,2010,20203
53,"Monmouth, NJ",57634,2010,34025
54,"LaMoure, ND",57269,2010,38045
55,"Lake, IL",57176,2010,17097
56,"Greeley, KS",57158,2010,20071
57,"Anchorage Municipality, AK",56507,2010,02020
58,"Talbot, MD",56007,2010,24041
59,"Fauquier, VA",55913,2010,51061
60,"King, WA",55803,2010,53033
61,"Stanton, KS",55560,2010,20187
62,"Billings, ND",55559,2010,38007
63,"Juneau City and Borough, AK",55006,2010,02110
64,"Bowman, ND",55004,2010,38011
65,"Palm Beach, FL",54853,2010,12099
66,"Martin, FL",54836,2010,12085
