,GeoName,Income,Year,GeoFips
0,District of Columbia,63182,2010,11000
1,Connecticut,61392,2010,09000
2,Massachusetts,52708,2010,25000
3,New England,51768,2010,91000
4,New Jersey,50962,2010,34000
5,Maryland,49617,2010,24000
6,Alaska *,49543,2010,02000
7,New York,48579,2010,36000
8,Mideast,47474,2010,92000
9,New Hampshire,46983,2010,33000
10,Wyoming,46395,2010,56000
11,Virginia,45443,2010,51000
12,North Dakota,44084,2010,38000
13,California,43138,2010,06000
14,Rhode Island,42631,2010,44000
15,Minnesota,42539,2010,27000
16,Washington,42327,2010,53000
17,Far West *,42254,2010,98000
18,Illinois,42107,2010,17000
19,Pennsylvania,42098,2010,42000
20,Hawaii *,41499,2010,15000
21,Vermont,41492,2010,50000
22,South Dakota,41274,2010,46000
23,Delaware,41101,2010,10000
24,Nebraska,41086,2010,31000
25,Colorado,40827,2010,08000
26,United States,40557,2010,00000
27,Kansas,39822,2010,20000
28,Plains,39764,2010,94000
29,Wisconsin,39048,2010,55000
30,Texas,38910,2010,48000
31,Florida,38778,2010,12000
32,Iowa,38190,2010,19000
33,Great Lakes,38071,2010,93000
34,Louisiana,38067,2010,22000
35,Maine,38018,2010,23000
36,Southwest,37567,2010,96000
37,Nevada,37288,2010,32000
38,Rocky Mountain,37175,2010,97000
39,Oklahoma,37157,2010,40000
40,Missouri,36984,2010,29000
41,Southeast,36681,2010,95000
42,Ohio,36580,2010,39000
43,Montana,36000,2010,30000
44,Oregon,35941,2010,41000
45,North Carolina,35847,2010,37000
46,Tennessee,35809,2010,47000
47,Michigan,35635,2010,26000
48,Indiana,35590,2010,18000
49,Georgia,34741,2010,13000
50,Alabama,33849,2010,01000
51,Arizona,33774,2010,04000
52,New Mexico,33658,2010,35000
53,Kentucky,33187,2010,21000
54,South Carolina,32747,2010,45000
55,West Virginia,32642,2010,54000
56,Arkansas,32218,2010,05000
57,Utah,32038,2010,49000
58,Idaho,31950,2010,16000
59,Mississippi,31213,2010,28000
60,District of Columbia,66950,2011,11000
61,Connecticut,62964,2011,09000
62,Massachusetts,54764,2011,25000
63,New England,53628,2011,91000
64,New Jersey,52862,2011,34000
65,Alaska *,52415,2011,02000
66,Maryland,51803,2011,24000
67,New York,50775,2011,36000
68,Wyoming,50630,2011,56000
69,Mideast,49606,2011,92000
70,New Hampshire,49088,2011,33000
71,North Dakota,48886,2011,38000
72,Virginia,47564,2011,51000
73,Nebraska,45611,2011,31000
74,California,45509,2011,06000
75,Minnesota,45137,2011,27000
76,South Dakota,44530,2011,46000
77,Far West *,44440,2011,98000
78,Washington,44281,2011,53000
79,Pennsylvania,44120,2011,42000
80,Rhode Island,44099,2011,44000
81,Illinois,44074,2011,17000
82,Delaware,43781,2011,10000
83,Vermont,43756,2011,50000
84,Colorado,43732,2011,08000
85,Kansas,42889,2011,20000
86,Hawaii *,42765,2011,15000
87,United States,42649,2011,00000
88,Plains,42375,2011,94000
89,Texas,41937,2011,48000
90,Wisconsin,41069,2011,55000
91,Iowa,40880,2011,19000
92,Florida,40433,2011,12000
93,Southwest,40199,2011,96000
94,Great Lakes,40177,2011,93000
95,Oklahoma,39693,2011,40000
96,Rocky Mountain,39644,2011,97000
97,Maine,39503,2011,23000
98,Louisiana,38966,2011,22000
99,Ohio,38928,2011,39000
100,Nevada,38589,2011,32000
101,Missouri,38402,2011,29000
102,Southeast,38277,2011,95000
103,Montana,38152,2011,30000
104,Tennessee,37698,2011,47000
105,Michigan,37689,2011,26000
106,Indiana,37682,2011,18000
107,Oregon,37531,2011,41000
108,North Carolina,36816,2011,37000
109,Georgia,36761,2011,13000
110,Arizona,35244,2011,04000
111,New Mexico,35069,2011,35000
112,Alabama,34887,2011,01000
113,Kentucky,34607,2011,21000
114,West Virginia,34490,2011,54000
115,South Carolina,34398,2011,45000
116,Arkansas,34180,2011,05000
117,Utah,34022,2011,49000
118,Idaho,33454,2011,16000
119,Mississippi,32454,2011,28000
120,District of Columbia,67470,2012,11000
121,Connecticut,63555,2012,09000
122,Massachusetts,56269,2012,25000
123,North Dakota,56077,2012,38000
124,New England,54794,2012,91000
125,New Jersey,54247,2012,34000
126,Wyoming,53596,2012,56000
127,Alaska *,53340,2012,02000
128,New York,52628,2012,36000
129,Maryland,52490,2012,24000
130,Mideast,51103,2012,92000
131,New Hampshire,50719,2012,33000
132,Virginia,49052,2012,51000
133,California,47794,2012,06000
134,Minnesota,47404,2012,27000
135,Washington,47057,2012,53000
136,Far West *,46618,2012,98000
137,Nebraska,46391,2012,31000
138,Illinois,45932,2012,17000
139,Pennsylvania,45638,2012,42000
140,Colorado,45490,2012,08000
141,Rhode Island,45305,2012,44000
142,South Dakota,44992,2012,46000
143,Kansas,44914,2012,20000
144,Vermont,44861,2012,50000
145,Plains,44292,2012,94000
146,United States,44237,2012,00000
147,Texas,43863,2012,48000
148,Delaware,43775,2012,10000
149,Hawaii *,43531,2012,15000
150,Wisconsin,42641,2012,55000
151,Iowa,42541,2012,19000
