,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total % Change,CAGR
0,"Baldwin County, Alabama",183195,186717,190790,195540,200111,203709,208563,212628,218022,223234,231767,239294,246435,0.34520592810939155,0.02502013774507139
1,"Calhoun County, Alabama",118510,117797,117296,116736,115916,115620,114611,114728,114277,113605,116441,115972,115788,-0.022968525862796407,-0.0019344941474012112
2,"Cullman County, Alabama",80459,80536,80440,80811,81289,82005,82471,82755,83442,83768,87866,89496,90665,0.1268472141090493,0.010001656987115748
3,"DeKalb County, Alabama",71151,71375,71080,71013,71065,71130,70900,71617,71385,71513,71608,71813,71998,0.011904259954181873,0.000986649885874824
4,"Elmore County, Alabama",79549,80162,80629,80902,80977,81468,81799,81677,81887,81209,87977,89304,89563,0.12588467485449217,0.009929734558807857
5,"Etowah County, Alabama",104462,104303,104392,103931,103531,103057,102564,102755,102501,102268,103436,103162,103088,-0.013153108307327077,-0.0011027562264064317
6,"Houston County, Alabama",101888,102369,103402,103668,104193,104173,104056,104346,104722,105882,107202,107458,108079,0.06076279836683418,0.004927791023440875
7,"Jefferson County, Alabama",658555,658931,660009,659479,660793,660367,659521,659197,659300,658573,674721,667820,665409,0.010407634897616758,0.0008631930316520542
8,"Lauderdale County, Alabama",92679,92781,92542,92797,93096,92596,92318,92538,92387,92729,93564,94043,95878,0.034516988746102095,0.0028318889307561435
9,"Lee County, Alabama",140780,143468,147257,150933,154255,156993,158991,161604,163941,164542,174241,177218,180773,0.2840815456741015,0.021055581532661183
10,"Limestone County, Alabama",83193,85369,87654,88845,90787,91663,92753,94402,96174,98915,103570,107517,110900,0.33304484752322905,0.024244711072245018
11,"Madison County, Alabama",335988,340111,343080,346892,350299,353089,356967,361046,366519,372909,388153,395211,403565,0.20112920699548797,0.015389053859254487
12,"Marshall County, Alabama",93235,94166,94776,94760,94636,94725,95157,95548,96109,96774,97612,98228,99423,0.06636992545717812,0.005369387731340991
13,"Mobile County, Alabama",413277,412577,413936,414079,415123,415395,414836,413955,413757,413210,414809,413073,411411,-0.004515131497760616,-0.000377041859404903
14,"Montgomery County, Alabama",229844,232032,230149,226659,226189,226519,226349,226646,225763,226486,228954,227434,226361,-0.015153756460903889,-0.0012716697356004447
15,"Morgan County, Alabama",119626,119953,120395,119787,119607,119565,119012,118818,119089,119679,123421,123668,124211,0.03832778827345229,0.0031392106348600013
16,"St. Clair County, Alabama",83761,84398,85237,86308,86697,87074,88019,88199,88690,89512,91103,92748,93932,0.12142882725850934,0.009596050554313118
17,"Shelby County, Alabama",195828,197936,200941,204180,206655,208713,210622,213605,215707,217702,223024,226902,230115,0.1750873215270543,0.013535998310419073
18,"Talladega County, Alabama",82110,81664,81762,81096,81322,80862,80103,80065,79828,79978,82149,81524,80704,-0.017123371087565453,-0.0014382706441466997
19,"Tuscaloosa County, Alabama",195036,197211,198596,200821,202212,203976,206102,207811,208911,209355,227036,227007,236780,0.21403228121987738,0.016293589634746475
20,"Anchorage Municipality, Alaska",293227,295570,298610,300950,301010,298695,298192,294356,291538,288000,291247,288121,287145,-0.020741609742622624,-0.0017451203726149833
21,"Fairbanks North Star Borough, Alaska",98314,99192,100272,100436,99357,99631,100605,99703,98971,96849,95655,95593,95356,-0.030087271395732085,-0.0025425274581967194
22,"Matanuska-Susitna Borough, Alaska",89737,91946,93925,95192,97882,101095,104365,106532,107610,108317,107081,110686,113325,0.2628570155008525,0.019638397542744768
23,"Apache County, Arizona",71676,72401,73195,71934,71828,71474,73112,71606,71818,71887,66021,65623,65432,-0.08711423628550696,-0.007566605354424771
24,"Cochise County, Arizona",131789,133289,132088,129473,127448,126427,125770,124756,126770,125922,125447,126050,125663,-0.046483393909962145,-0.00395868019847101
25,"Coconino County, Arizona",134651,134511,136011,136539,137682,139097,140908,140776,142854,143476,145101,145052,144060,0.06987694112928988,0.005644506665652305
26,"Maricopa County, Arizona",3827371,3880244,3942169,4009412,4087191,4167947,4242997,4307033,4410824,4485414,4420568,4496588,4551524,0.18920376415037898,0.014545096711849448
27,"Mohave County, Arizona",200181,202351,203334,203030,203361,204737,205249,207200,209550,212181,213267,217692,220816,0.10308171105149833,0.008209163425801469
28,"Navajo County, Arizona",107551,107398,107094,107322,108101,108277,110026,108956,110445,110924,106717,108147,108650,0.010218408011083202,0.0008475717386791093
29,"Pima County, Arizona",982154,989569,992394,996554,1004516,1010025,1016206,1022769,1039073,1047279,1043433,1052030,1057597,0.07681381942139409,0.006186265858799445
30,"Pinal County, Arizona",383842,382992,387365,389350,401918,406584,418540,430237,447138,462789,425264,449557,464154,0.20923192355187803,0.015958107310612757
31,"Yavapai County, Arizona",211061,211888,212637,215133,218844,222255,225562,228168,231993,235099,236209,242253,246191,0.16644477189059081,0.012912696923566003
32,"Yuma County, Arizona",196509,200870,200022,201201,203247,204275,205631,207534,212128,213787,203881,206990,207842,0.05767165880443126,0.004683428450933391
33,"Benton County, Arkansas",222894,227556,232268,237297,242321,249672,258291,266300,272608,279141,284333,293692,302863,0.35877592039265305,0.025877851278567787
34,"Craighead County, Arkansas",96771,98315,99735,101488,102518,104354,105835,107115,108558,110332,111231,112218,113017,0.16788087340215552,0.013016561339415977
35,"Faulkner County, Arkansas",113980,116342,118704,119580,120768,121552,122227,123654,124806,126007,123498,125106,127665,0.12006492367081933,0.009493669272147232
36,"Garland County, Arkansas",96145,97124,96903,97173,97322,97177,97477,98658,99154,99386,100180,100330,100089,0.04102137396640493,0.003355811634555561
37,"Jefferson County, Arkansas",77358,76246,74723,73191,72297,71565,70016,69115,68114,66824,67260,65861,64246,-0.16949766022906487,-0.015357890443240985
38,"Lonoke County, Arkansas",68634,69341,69839,70753,71557,71645,72228,72898,73657,73309,74015,74722,75225,0.0960311216015386,0.007670567872007483
39,"Pulaski County, Arkansas",383632,386299,388953,391284,392702,392664,393250,393956,392680,391911,399125,397821,399145,0.040437189806898255,0.0033088789300632637
40,"Saline County, Arkansas",107532,109526,111845,114404,115719,117460,118703,119323,121421,122437,123416,125233,127357,0.18436372428672398,0.014200354657925018
41,"Sebastian County, Arkansas",125920,127127,127304,127342,126776,127780,127793,128107,127753,127827,127799,128400,129059,0.02492852604828455,0.0020540132238704434
42,"Washington County, Arkansas",204123,207521,211411,216410,220792,225477,228049,231996,236961,239187,245871,250057,256054,0.25441033102590116,0.019068322463573928
43,"White County, Arkansas",77350,78167,78493,78483,78592,79161,79263,79016,78727,78753,76822,77207,77755,0.0052359405300581585,0.0004352847634487844
44,"Alameda County, California",1513952,1529875,1554720,1578891,1610921,1638215,1647704,1663190,1666753,1671329,1682353,1648556,1628997,0.07598985965208938,0.00612208361667177
45,"Butte County, California",220072,220266,221539,222090,224241,225411,226864,229294,231256,219186,211632,208309,207303,-0.058021920098876745,-0.004968721064643522
46,"Contra Costa County, California",1052827,1066096,1079597,1094205,1111339,1126745,1135127,1147439,1150215,1153526,1165927,1161413,1156966,0.09891368667406897,0.007891150150619808
47,"El Dorado County, California",181194,180938,180561,181737,183087,184452,185625,188987,190678,192843,191185,193221,192646,0.06320297581597623,0.0051202327623012245
48,"Fresno County, California",933248,942904,947895,955272,965974,974861,979915,989255,994400,999101,1008654,1013581,1015190,0.08780302770539028,0.007037992015020755
49,"Humboldt County, California",134794,134761,134827,134493,134809,135727,136646,136754,136373,135558,136463,136310,135010,0.0016024452126950361,0.00013343912448493533
50,"Imperial County, California",175234,177057,176948,176584,179091,180191,180883,182830,181827,181215,179702,179851,178713,0.019853453097001816,0.0016395879519113254
51,"Kern County, California",842207,851710,856158,864124,874589,882176,884788,893119,896764,900202,909235,917673,916108,0.08774683658530513,0.007033656982922576
