,County,State Code,County Code,GEO_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,GeoFips
0,"Abbeville County, South Carolina",45,001,0500000US45001,,,,,,,,,,,24295,,,45001
1,"Acadia Parish, Louisiana",22,001,0500000US22001,,,,,,,,,,,57576,,,22001
2,"Accomack County, Virginia",51,001,0500000US51001,,,,,,,,,,,33413,,,51001
3,"Ada County, Idaho",16,001,0500000US16001,393531,400842,409061,416464,426236,434211,444028,456849,469966,481587,494967,511931,518907,16001
4,"Adair County, Iowa",19,001,0500000US19001,,,,,,,,,,,7496,,,19001
5,"Adair County, Kentucky",21,001,0500000US21001,,,,,,,,,,,18903,,,21001
6,"Adair County, Missouri",29,001,0500000US29001,,,,,,,,,,,25314,,,29001
7,"Adair County, Oklahoma",40,001,0500000US40001,,,,,,,,,,,19495,,,40001
8,"Adams County, Colorado",08,001,0500000US08001,443715,451443,459598,469193,480718,491337,498187,503167,511868,517421,519572,522140,527575,08001
9,"Adams County, Idaho",16,003,0500000US16003,,,,,,,,,,,4379,,,16003
10,"Adams County, Illinois",17,001,0500000US17001,67120,67159,67197,67130,66988,67013,66578,66234,65691,65435,65737,,,17001
11,"Adams County, Indiana",18,001,0500000US18001,,,,,,,,,,,35809,,,18001
12,"Adams County, Iowa",19,003,0500000US19003,,,,,,,,,,,3704,,,19003
13,"Adams County, Mississippi",28,001,0500000US28001,,,,,,,,,,,29538,,,28001
14,"Adams County, Nebraska",31,001,0500000US31001,,,,,,,,,,,31205,,,31001
15,"Adams County, North Dakota",38,001,0500000US38001,,,,,,,,,,,2200,,,38001
16,"Adams County, Ohio",39,001,0500000US39001,,,,,,,,,,,27477,,,39001
17,"Adams County, Pennsylvania",42,001,0500000US42001,101485,101434,101482,101546,101714,102295,102180,102336,102811,103009,103852,104127,106027,42001
18,"Adams County, Washington",53,001,0500000US53001,,,,,,,,,,,20613,,,53001
19,"Adams County, Wisconsin",55,001,0500000US55001,,,,,,,,,,,20654,,,55001
20,"Addison County, Vermont",50,001,0500000US50001,,,,,,,,,,,37363,,,50001
21,"Adjuntas Municipio, Puerto Rico",72,001,0500000US72001,,,,,,,,,,,18020,,,72001
22,"Aguada Municipio, Puerto Rico",72,003,0500000US72003,,,,,,,,,,,38136,,,72003
23,"Aguadilla Municipio, Puerto Rico",72,005,0500000US72005,,,,,,,,,,,55101,,,72005
24,"Aguas Buenas Municipio, Puerto Rico",72,007,0500000US72007,,,,,,,,,,,24223,,,72007
25,"Aibonito Municipio, Puerto Rico",72,009,0500000US72009,,,,,,,,,,,24637,,,72009
26,"Aiken County, South Carolina",45,003,0500000US45003,160565,160682,162812,164176,164753,165829,167458,168179,169401,170872,168808,170776,174150,45003
27,"Aitkin County, Minnesota",27,001,0500000US27001,,,,,,,,,,,15697,,,27001
28,"Alachua County, Florida",12,001,0500000US12001,247497,249365,251417,253451,256380,259964,263496,266944,269956,269043,278468,279238,284030,12001
29,"Alamance County, North Carolina",37,001,0500000US37001,151528,153291,153920,154378,155792,158276,159688,162391,166436,169509,171415,173877,176353,37001
30,"Alameda County, California",06,001,0500000US06001,1513952,1529875,1554720,1578891,1610921,1638215,1647704,1663190,1666753,1671329,1682353,1648556,1628997,06001
31,"Alamosa County, Colorado",08,003,0500000US08003,,,,,,,,,,,16376,,,08003
32,"Albany County, New York",36,001,0500000US36001,303833,303565,305455,306945,308171,309381,308846,309612,307117,305506,314848,313743,315811,36001
33,"Albany County, Wyoming",56,001,0500000US56001,,,,,,,,,,,37066,,,56001
34,"Albemarle County, Virginia",51,003,0500000US51003,99150,100553,102251,103000,104489,105703,106878,107702,108718,109330,112395,113535,114534,51003
35,"Alcona County, Michigan",26,001,0500000US26001,,,,,,,,,,,10167,,,26001
36,"Alcorn County, Mississippi",28,003,0500000US28003,,,,,,,,,,,34740,,,28003
37,"Aleutians East Borough, Alaska",02,013,0500000US02013,,,,,,,,,,,3420,,,02013
38,"Aleutians West Census Area, Alaska",02,016,0500000US02016,,,,,,,,,,,5232,,,02016
39,"Alexander County, Illinois",17,003,0500000US17003,,,,,,,,,,,5240,,,17003
40,"Alexander County, North Carolina",37,003,0500000US37003,,,,,,,,,,,36444,,,37003
41,"Alexandria city, Virginia",51,510,0500000US51510,140912,144301,146294,148892,150575,153511,155810,160035,160530,159428,159467,154706,155525,51510
42,"Alfalfa County, Oklahoma",40,003,0500000US40003,,,,,,,,,,,5699,,,40003
43,"Alger County, Michigan",26,003,0500000US26003,,,,,,,,,,,8842,,,26003
44,"Allamakee County, Iowa",19,005,0500000US19005,,,,,,,,,,,14061,,,19005
45,"Allegan County, Michigan",26,005,0500000US26005,111503,111234,112039,112531,113847,114625,115548,116447,117327,118081,120502,120950,121210,26005
46,"Allegany County, Maryland",24,001,0500000US24001,75021,74692,74012,73521,72952,72528,72130,71615,70975,70416,68106,67729,67267,24001
47,"Allegany County, New York",36,003,0500000US36003,,,,,,,,,,,46456,,,36003
48,"Alleghany County, North Carolina",37,005,0500000US37005,,,,,,,,,,,10888,,,37005
49,"Alleghany County, Virginia",51,005,0500000US51005,,,,,,,,,,,15223,,,51005
50,"Allegheny County, Pennsylvania",42,003,0500000US42003,1223583,1227066,1229338,1231527,1231255,1230459,1225365,1223048,1218452,1216045,1250578,1238090,1233253,42003
51,"Allen County, Indiana",18,003,0500000US18003,355856,358327,360412,363014,365918,368450,370404,372877,375351,379299,385410,388608,391449,18003
52,"Allen County, Kansas",20,001,0500000US20001,,,,,,,,,,,12526,,,20001
53,"Allen County, Kentucky",21,003,0500000US21003,,,,,,,,,,,20588,,,21003
54,"Allen County, Ohio",39,003,0500000US39003,106205,106094,105141,105298,105040,104425,103742,103198,102663,102351,102206,101670,101115,39003
55,"Allen Parish, Louisiana",22,003,0500000US22003,,,,,,,,,,,22750,,,22003
56,"Allendale County, South Carolina",45,005,0500000US45005,,,,,,,,,,,8039,,,45005
57,"Alpena County, Michigan",26,007,0500000US26007,,,,,,,,,,,28907,,,26007
58,"Alpine County, California",06,003,0500000US06003,,,,,,,,,,,1204,,,06003
59,"Amador County, California",06,005,0500000US06005,,,,,,,,,,,40474,,,06005
60,"Amelia County, Virginia",51,007,0500000US51007,,,,,,,,,,,13265,,,51007
61,"Amherst County, Virginia",51,009,0500000US51009,,,,,,,,,,,31307,,,51009
62,"Amite County, Mississippi",28,005,0500000US28005,,,,,,,,,,,12720,,,28005
63,"Anchorage Municipality, Alaska",02,020,0500000US02020,293227,295570,298610,300950,301010,298695,298192,294356,291538,288000,291247,288121,287145,02020
64,"Anderson County, Kansas",20,003,0500000US20003,,,,,,,,,,,7836,,,20003
65,"Anderson County, Kentucky",21,005,0500000US21005,,,,,,,,,,,23852,,,21005
66,"Anderson County, South Carolina",45,007,0500000US45007,187269,188488,189355,190641,192810,194692,196569,198759,200482,202558,203718,206908,209581,45007
