,County,State Code,County Code,GEO_ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,GeoFips,CAGR,Total Growth Rate
2919,"Tuscaloosa County, Alabama",01,125,0500000US01125,195036.0,197211.0,198596.0,200821.0,202212.0,203976.0,206102.0,207811.0,208911.0,209355.0,227036.0,227007.0,236780.0,01125,0.016293589634746475,0.21403228121987736
2728,"St. Clair County, Alabama",01,115,0500000US01115,83761.0,84398.0,85237.0,86308.0,86697.0,87074.0,88019.0,88199.0,88690.0,89512.0,91103.0,92748.0,93932.0,01115,0.009596050554313118,0.12142882725850933
2031,"Montgomery County, Alabama",01,101,0500000US01101,229844.0,232032.0,230149.0,226659.0,226189.0,226519.0,226349.0,226646.0,225763.0,226486.0,228954.0,227434.0,226361.0,01101,-0.0012716697356004447,-0.015153756460903917
127,"Baldwin County, Alabama",01,003,0500000US01003,183195.0,186717.0,190790.0,195540.0,200111.0,203709.0,208563.0,212628.0,218022.0,223234.0,231767.0,239294.0,246435.0,01003,0.02502013774507139,0.34520592810939166
2662,"Shelby County, Alabama",01,117,0500000US01117,195828.0,197936.0,200941.0,204180.0,206655.0,208713.0,210622.0,213605.0,215707.0,217702.0,223024.0,226902.0,230115.0,01117,0.013535998310419073,0.17508732152705436
2058,"Morgan County, Alabama",01,103,0500000US01103,119626.0,119953.0,120395.0,119787.0,119607.0,119565.0,119012.0,118818.0,119089.0,119679.0,123421.0,123668.0,124211.0,01103,0.0031392106348600013,0.03832778827345226
900,"Elmore County, Alabama",01,051,0500000US01051,79549.0,80162.0,80629.0,80902.0,80977.0,81468.0,81799.0,81677.0,81887.0,81209.0,87977.0,89304.0,89563.0,01051,0.009929734558807857,0.1258846748544922
921,"Etowah County, Alabama",01,055,0500000US01055,104462.0,104303.0,104392.0,103931.0,103531.0,103057.0,102564.0,102755.0,102501.0,102268.0,103436.0,103162.0,103088.0,01055,-0.0011027562264064317,-0.013153108307327067
766,"DeKalb County, Alabama",01,049,0500000US01049,71151.0,71375.0,71080.0,71013.0,71065.0,71130.0,70900.0,71617.0,71385.0,71513.0,71608.0,71813.0,71998.0,01049,0.000986649885874824,0.01190425995418195
1440,"Jefferson County, Alabama",01,073,0500000US01073,658555.0,658931.0,660009.0,659479.0,660793.0,660367.0,659521.0,659197.0,659300.0,658573.0,674721.0,667820.0,665409.0,01073,0.0008631930316520542,0.010407634897616752
1707,"Limestone County, Alabama",01,083,0500000US01083,83193.0,85369.0,87654.0,88845.0,90787.0,91663.0,92753.0,94402.0,96174.0,98915.0,103570.0,107517.0,110900.0,01083,0.024244711072245018,0.3330448475232291
2000,"Mobile County, Alabama",01,097,0500000US01097,413277.0,412577.0,413936.0,414079.0,415123.0,415395.0,414836.0,413955.0,413757.0,413210.0,414809.0,413073.0,411411.0,01097,-0.000377041859404903,-0.004515131497760582
1863,"Marshall County, Alabama",01,095,0500000US01095,93235.0,94166.0,94776.0,94760.0,94636.0,94725.0,95157.0,95548.0,96109.0,96774.0,97612.0,98228.0,99423.0,01095,0.005369387731340991,0.0663699254571781
1669,"Lee County, Alabama",01,081,0500000US01081,140780.0,143468.0,147257.0,150933.0,154255.0,156993.0,158991.0,161604.0,163941.0,164542.0,174241.0,177218.0,180773.0,01081,0.021055581532661183,0.28408154567410143
708,"Cullman County, Alabama",01,043,0500000US01043,80459.0,80536.0,80440.0,80811.0,81289.0,82005.0,82471.0,82755.0,83442.0,83768.0,87866.0,89496.0,90665.0,01043,0.010001656987115748,0.12684721410904934
