,County,Total Population,Est. Pop Below Poverty Level,2022 Poverty Rate,GEO_ID
0,United States,325521470,40951625,12.580314594917501,0100000US
0,"Baldwin County, Alabama",241525,32313,13.378739260946071,0500000US01003
1,"Calhoun County, Alabama",111451,20450,18.34887080420992,0500000US01015
2,"Cullman County, Alabama",89595,16019,17.87934594564429,0500000US01043
3,"DeKalb County, Alabama",70267,13967,19.877040431497004,0500000US01049
4,"Elmore County, Alabama",85226,9133,10.716213362119541,0500000US01051
5,"Etowah County, Alabama",101261,17774,17.552660945477527,0500000US01055
6,"Houston County, Alabama",107230,18773,17.507227455003264,0500000US01069
7,"Jefferson County, Alabama",646605,106039,16.399347360444168,0500000US01073
8,"Lauderdale County, Alabama",92667,10642,11.484131352045496,0500000US01077
9,"Lee County, Alabama",173273,26217,15.130458871260958,0500000US01081
10,"Limestone County, Alabama",107692,10200,9.471455632730379,0500000US01083
11,"Madison County, Alabama",393100,44774,11.389977105062325,0500000US01089
12,"Marshall County, Alabama",98096,16625,16.947683901484258,0500000US01095
13,"Mobile County, Alabama",403371,77232,19.14664167726485,0500000US01097
14,"Montgomery County, Alabama",216621,37581,17.34873350229202,0500000US01101
15,"Morgan County, Alabama",121914,15221,12.48503043128763,0500000US01103
16,"St. Clair County, Alabama",91813,12040,13.113611362225393,0500000US01115
17,"Shelby County, Alabama",226033,14066,6.2229851393380615,0500000US01117
18,"Talladega County, Alabama",77427,13948,18.01438774587676,0500000US01121
19,"Tuscaloosa County, Alabama",220784,36862,16.695956228712223,0500000US01125
20,"Anchorage Municipality, Alaska",281166,31222,11.104472091220133,0500000US02020
21,"Fairbanks North Star Borough, Alaska",91659,6528,7.1220502078355645,0500000US02090
22,"Matanuska-Susitna Borough, Alaska",110111,11501,10.444914677007747,0500000US02170
23,"Apache County, Arizona",64254,18087,28.14922028200579,0500000US04001
24,"Cochise County, Arizona",120607,21421,17.760992313878962,0500000US04003
25,"Coconino County, Arizona",133203,22639,16.995863456528756,0500000US04005
26,"Maricopa County, Arizona",4486042,483305,10.773528201474708,0500000US04013
27,"Mohave County, Arizona",215093,36518,16.97777240542463,0500000US04015
28,"Navajo County, Arizona",106297,29857,28.088280948662707,0500000US04017
29,"Pima County, Arizona",1031053,148963,14.44765690997456,0500000US04019
30,"Pinal County, Arizona",446986,49295,11.028309611486712,0500000US04021
31,"Yavapai County, Arizona",242449,34467,14.216185672038243,0500000US04025
32,"Yuma County, Arizona",201371,26544,13.181639858768143,0500000US04027
33,"Benton County, Arkansas",298402,21740,7.285473957949344,0500000US05007
34,"Craighead County, Arkansas",109570,19650,17.933740987496577,0500000US05031
35,"Faulkner County, Arkansas",122009,19633,16.091435877681153,0500000US05045
36,"Garland County, Arkansas",98515,17625,17.890676546718772,0500000US05051
37,"Jefferson County, Arkansas",58172,11833,20.34140136147975,0500000US05069
38,"Lonoke County, Arkansas",74105,9257,12.491734700762432,0500000US05085
39,"Pulaski County, Arkansas",390195,68846,17.64399851356373,0500000US05119
40,"Saline County, Arkansas",126180,13451,10.660168013948327,0500000US05125
41,"Sebastian County, Arkansas",127316,22390,17.586163561531936,0500000US05131
42,"Washington County, Arkansas",245921,36490,14.838098413718226,0500000US05143
43,"White County, Arkansas",75316,12189,16.183812204578043,0500000US05145
44,"Alameda County, California",1599844,161706,10.107610492022973,0500000US06001
45,"Butte County, California",202356,38102,18.82919211686335,0500000US06007
