,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
0,"Baldwin County, Alabama",76213,45042,4140,9567,8624,6230,3314,2430,1609,2145,6575,408,0500000US01003
1,"Calhoun County, Alabama",32866,14709,1392,3901,3860,1388,1300,1308,170,303,926,161,0500000US01015
2,"Cullman County, Alabama",28214,14037,1725,3467,3028,2138,698,486,837,99,1515,44,0500000US01043
3,"DeKalb County, Alabama",19244,7810,1361,1218,1316,1401,745,293,341,426,661,48,0500000US01049
4,"Elmore County, Alabama",26127,15754,1517,4473,3451,2816,1258,499,186,664,849,41,0500000US01051
5,"Etowah County, Alabama",29272,14120,807,3426,3505,1008,1962,605,641,850,1316,0,0500000US01055
6,"Houston County, Alabama",27900,16519,2081,4173,3233,2617,1331,778,404,606,1190,106,0500000US01069
7,"Jefferson County, Alabama",171088,103861,14451,21295,21071,15112,7813,3770,3568,5433,11157,191,0500000US01073
8,"Lauderdale County, Alabama",27320,15285,2051,4445,2911,2128,905,589,556,92,1608,0,0500000US01077
9,"Lee County, Alabama",47549,29136,3313,5998,6581,3230,3160,1446,1164,1383,2390,471,0500000US01081
10,"Limestone County, Alabama",31785,18696,2976,4051,3628,2907,1474,831,246,504,2079,0,0500000US01083
11,"Madison County, Alabama",113717,73536,12121,18286,13144,9607,4968,4106,1939,1707,7212,446,0500000US01089
12,"Marshall County, Alabama",26268,13132,1124,2674,2682,1757,1329,650,748,383,1731,54,0500000US01095
13,"Mobile County, Alabama",107098,63516,8601,15098,10701,7408,5355,4845,2380,2632,6066,430,0500000US01097
14,"Montgomery County, Alabama",55532,34933,3657,7367,7454,5251,2603,2109,893,1440,4005,154,0500000US01101
15,"Morgan County, Alabama",36795,20455,2638,3061,5604,2333,2231,935,1077,342,2187,47,0500000US01103
16,"St. Clair County, Alabama",28516,16338,1170,3778,3651,2547,2453,742,382,742,873,0,0500000US01115
17,"Shelby County, Alabama",71084,48436,6308,13157,9293,7447,4249,1421,1438,1554,3267,302,0500000US01117
18,"Talladega County, Alabama",23005,11116,2112,2331,1556,1303,1000,953,158,286,1399,18,0500000US01121
19,"Tuscaloosa County, Alabama",55020,34985,3212,6890,8960,5618,3613,1050,1307,1137,2923,275,0500000US01125
20,"Anchorage Municipality, Alaska",71357,50467,3532,9353,9335,8946,5037,4613,2199,2715,4596,141,0500000US02020
21,"Fairbanks North Star Borough, Alaska",22257,12867,130,1956,2428,3065,1114,1271,414,859,1630,0,0500000US02090
22,"Matanuska-Susitna Borough, Alaska",30352,20052,1413,3581,3666,3007,2175,1976,896,1684,1517,137,0500000US02170
23,"Apache County, Arizona",16349,2919,372,753,687,446,182,114,15,78,199,73,0500000US04001
24,"Cochise County, Arizona",35915,17147,1556,3607,3982,2936,1766,530,388,905,1116,361,0500000US04003
25,"Coconino County, Arizona",30466,14871,1397,2746,2869,1586,1333,1233,628,657,2395,27,0500000US04005
26,"Maricopa County, Arizona",1126463,751801,81601,150273,150848,107871,71239,44809,28621,36312,74831,5396,0500000US04013
27,"Mohave County, Arizona",75416,38814,3186,6311,7722,4349,4304,2840,1512,1798,6666,126,0500000US04015
28,"Navajo County, Arizona",29528,11161,993,2273,2668,1247,873,498,206,739,1086,578,0500000US04017
29,"Pima County, Arizona",285101,169093,16496,32800,30296,23562,17471,10762,7242,9105,19978,1381,0500000US04019
30,"Pinal County, Arizona",135203,83949,10524,13690,15813,11315,9444,5831,4790,5173,7068,301,0500000US04021
31,"Yavapai County, Arizona",83735,45042,3232,5303,7548,7282,5623,3286,3475,2306,6987,0,0500000US04025
32,"Yuma County, Arizona",56823,32526,3207,5286,5289,4677,3236,2164,1720,1097,5850,0,0500000US04027
33,"Benton County, Arkansas",78715,53177,5502,12747,14029,8005,4104,2226,1915,1353,3280,16,0500000US05007
34,"Craighead County, Arkansas",27679,16007,1935,4703,3776,1600,1402,438,167,539,1190,257,0500000US05031
35,"Faulkner County, Arkansas",30738,17928,2769,3642,3909,1990,1304,1362,241,1063,1473,175,0500000US05045
36,"Garland County, Arkansas",32420,15112,1468,3121,2968,2005,1131,1067,458,711,2103,80,0500000US05051
37,"Jefferson County, Arkansas",15709,7342,767,1472,1123,1630,612,441,152,481,636,28,0500000US05069
38,"Lonoke County, Arkansas",19771,11975,845,2581,2899,1304,1714,773,390,413,1056,0,0500000US05085
39,"Pulaski County, Arkansas",98980,61378,8195,13539,11730,10286,4052,3218,2129,3598,4042,589,0500000US05119
40,"Saline County, Arkansas",38670,21435,1781,6794,4206,3691,2297,728,562,475,901,0,0500000US05125
41,"Sebastian County, Arkansas",31350,17424,2415,3119,4336,2234,1616,825,323,516,1885,155,0500000US05131
42,"Washington County, Arkansas",53798,32999,2762,6899,8621,3975,2693,2881,1056,1832,2193,87,0500000US05143
43,"White County, Arkansas",20021,10606,825,1821,3380,1474,726,434,180,302,1418,46,0500000US05145
44,"Alameda County, California",328272,231278,16328,33505,45264,36264,25424,16816,11348,16002,29538,789,0500000US06001
45,"Butte County, California",47263,29269,2185,3013,5660,3986,3058,3009,1736,2584,4038,0,0500000US06007
46,"Contra Costa County, California",285619,204285,13033,28506,36470,30126,22124,15880,12246,14518,30025,1357,0500000US06013
47,"El Dorado County, California",58105,40174,2268,4996,6727,6161,5905,3685,2198,3322,4841,71,0500000US06017
48,"Fresno County, California",179791,118761,9215,16211,21723,18420,14240,7958,6026,7171,16368,1429,0500000US06019
49,"Humboldt County, California",31545,15962,980,1875,2347,2396,1789,1564,1455,932,2517,107,0500000US06023
50,"Imperial County, California",29870,17654,1555,2148,3743,2849,1107,1147,1217,1264,2483,141,0500000US06025
51,"Kern County, California",172830,114967,8789,16754,18106,17117,10396,8905,6970,7367,19250,1313,0500000US06029
52,"Kings County, California",24973,16160,1023,2546,3146,1563,1709,1782,1746,508,1968,169,0500000US06031
53,"Lake County, California",19973,9404,822,524,1198,1008,840,1386,660,940,2026,0,0500000US06033
54,"Los Angeles County, California",1552047,1052211,60749,119740,155532,145597,116474,80206,60635,89675,215717,7886,0500000US06037
55,"Madera County, California",31400,20862,1858,4125,3533,2366,2121,1059,885,1067,3431,417,0500000US06039
56,"Marin County, California",67369,44861,4191,4480,7274,6924,4460,4252,3217,3003,6975,85,0500000US06041
57,"Mendocino County, California",21814,10027,839,806,1473,1407,653,730,615,1305,2074,125,0500000US06045
58,"Merced County, California",51369,36892,2977,5107,5183,4143,4494,4278,2055,2181,6107,367,0500000US06047
59,"Monterey County, California",68051,41307,2629,5184,6617,5939,5378,2563,3005,2956,6887,149,0500000US06053
60,"Napa County, California",31585,20096,1407,1902,2716,2701,2044,2208,1369,1626,3976,147,0500000US06055
