,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"Baldwin County, Alabama",183195,186717,190790,195540,200111,203709,208563,212628,218022,223234,231767,239294,246435
1,"Calhoun County, Alabama",118510,117797,117296,116736,115916,115620,114611,114728,114277,113605,116441,115972,115788
2,"Cullman County, Alabama",80459,80536,80440,80811,81289,82005,82471,82755,83442,83768,87866,89496,90665
3,"DeKalb County, Alabama",71151,71375,71080,71013,71065,71130,70900,71617,71385,71513,71608,71813,71998
4,"Elmore County, Alabama",79549,80162,80629,80902,80977,81468,81799,81677,81887,81209,87977,89304,89563
5,"Etowah County, Alabama",104462,104303,104392,103931,103531,103057,102564,102755,102501,102268,103436,103162,103088
6,"Houston County, Alabama",101888,102369,103402,103668,104193,104173,104056,104346,104722,105882,107202,107458,108079
7,"Jefferson County, Alabama",658555,658931,660009,659479,660793,660367,659521,659197,659300,658573,674721,667820,665409
8,"Lauderdale County, Alabama",92679,92781,92542,92797,93096,92596,92318,92538,92387,92729,93564,94043,95878
9,"Lee County, Alabama",140780,143468,147257,150933,154255,156993,158991,161604,163941,164542,174241,177218,180773
10,"Limestone County, Alabama",83193,85369,87654,88845,90787,91663,92753,94402,96174,98915,103570,107517,110900
11,"Madison County, Alabama",335988,340111,343080,346892,350299,353089,356967,361046,366519,372909,388153,395211,403565
12,"Marshall County, Alabama",93235,94166,94776,94760,94636,94725,95157,95548,96109,96774,97612,98228,99423
13,"Mobile County, Alabama",413277,412577,413936,414079,415123,415395,414836,413955,413757,413210,414809,413073,411411
14,"Montgomery County, Alabama",229844,232032,230149,226659,226189,226519,226349,226646,225763,226486,228954,227434,226361
15,"Morgan County, Alabama",119626,119953,120395,119787,119607,119565,119012,118818,119089,119679,123421,123668,124211
16,"St. Clair County, Alabama",83761,84398,85237,86308,86697,87074,88019,88199,88690,89512,91103,92748,93932
17,"Shelby County, Alabama",195828,197936,200941,204180,206655,208713,210622,213605,215707,217702,223024,226902,230115
18,"Talladega County, Alabama",82110,81664,81762,81096,81322,80862,80103,80065,79828,79978,82149,81524,80704
19,"Tuscaloosa County, Alabama",195036,197211,198596,200821,202212,203976,206102,207811,208911,209355,227036,227007,236780
20,"Anchorage Municipality, Alaska",293227,295570,298610,300950,301010,298695,298192,294356,291538,288000,291247,288121,287145
21,"Fairbanks North Star Borough, Alaska",98314,99192,100272,100436,99357,99631,100605,99703,98971,96849,95655,95593,95356
22,"Matanuska-Susitna Borough, Alaska",89737,91946,93925,95192,97882,101095,104365,106532,107610,108317,107081,110686,113325
23,"Apache County, Arizona",71676,72401,73195,71934,71828,71474,73112,71606,71818,71887,66021,65623,65432
24,"Cochise County, Arizona",131789,133289,132088,129473,127448,126427,125770,124756,126770,125922,125447,126050,125663
25,"Coconino County, Arizona",134651,134511,136011,136539,137682,139097,140908,140776,142854,143476,145101,145052,144060
26,"Maricopa County, Arizona",3827371,3880244,3942169,4009412,4087191,4167947,4242997,4307033,4410824,4485414,4420568,4496588,4551524
27,"Mohave County, Arizona",200181,202351,203334,203030,203361,204737,205249,207200,209550,212181,213267,217692,220816
28,"Navajo County, Arizona",107551,107398,107094,107322,108101,108277,110026,108956,110445,110924,106717,108147,108650
29,"Pima County, Arizona",982154,989569,992394,996554,1004516,1010025,1016206,1022769,1039073,1047279,1043433,1052030,1057597
30,"Pinal County, Arizona",383842,382992,387365,389350,401918,406584,418540,430237,447138,462789,425264,449557,464154
31,"Yavapai County, Arizona",211061,211888,212637,215133,218844,222255,225562,228168,231993,235099,236209,242253,246191
32,"Yuma County, Arizona",196509,200870,200022,201201,203247,204275,205631,207534,212128,213787,203881,206990,207842
33,"Benton County, Arkansas",222894,227556,232268,237297,242321,249672,258291,266300,272608,279141,284333,293692,302863
34,"Craighead County, Arkansas",96771,98315,99735,101488,102518,104354,105835,107115,108558,110332,111231,112218,113017
35,"Faulkner County, Arkansas",113980,116342,118704,119580,120768,121552,122227,123654,124806,126007,123498,125106,127665
36,"Garland County, Arkansas",96145,97124,96903,97173,97322,97177,97477,98658,99154,99386,100180,100330,100089
37,"Jefferson County, Arkansas",77358,76246,74723,73191,72297,71565,70016,69115,68114,66824,67260,65861,64246
38,"Lonoke County, Arkansas",68634,69341,69839,70753,71557,71645,72228,72898,73657,73309,74015,74722,75225
39,"Pulaski County, Arkansas",383632,386299,388953,391284,392702,392664,393250,393956,392680,391911,399125,397821,399145
40,"Saline County, Arkansas",107532,109526,111845,114404,115719,117460,118703,119323,121421,122437,123416,125233,127357
41,"Sebastian County, Arkansas",125920,127127,127304,127342,126776,127780,127793,128107,127753,127827,127799,128400,129059
42,"Washington County, Arkansas",204123,207521,211411,216410,220792,225477,228049,231996,236961,239187,245871,250057,256054
43,"White County, Arkansas",77350,78167,78493,78483,78592,79161,79263,79016,78727,78753,76822,77207,77755
44,"Alameda County, California",1513952,1529875,1554720,1578891,1610921,1638215,1647704,1663190,1666753,1671329,1682353,1648556,1628997
45,"Butte County, California",220072,220266,221539,222090,224241,225411,226864,229294,231256,219186,211632,208309,207303
46,"Contra Costa County, California",1052827,1066096,1079597,1094205,1111339,1126745,1135127,1147439,1150215,1153526,1165927,1161413,1156966
47,"El Dorado County, California",181194,180938,180561,181737,183087,184452,185625,188987,190678,192843,191185,193221,192646
48,"Fresno County, California",933248,942904,947895,955272,965974,974861,979915,989255,994400,999101,1008654,1013581,1015190
49,"Humboldt County, California",134794,134761,134827,134493,134809,135727,136646,136754,136373,135558,136463,136310,135010
50,"Imperial County, California",175234,177057,176948,176584,179091,180191,180883,182830,181827,181215,179702,179851,178713
51,"Kern County, California",842207,851710,856158,864124,874589,882176,884788,893119,896764,900202,909235,917673,916108
52,"Kings County, California",153174,153765,151364,150960,150269,150965,149785,150101,151366,152940,152486,153443,152981
53,"Lake County, California",64771,64323,63983,63860,64184,64591,64116,64246,64382,64386,68163,68766,68191
54,"Los Angeles County, California",9830420,9889056,9962789,10017068,10116705,10170292,10137915,10163507,10105518,10039107,10014009,9829544,9721138
55,"Madera County, California",151408,152925,152218,152389,154548,154998,154697,156890,157672,157327,156255,159410,160256
56,"Marin County, California",252916,255031,256069,258365,260750,261221,260651,260955,259666,258826,262321,260206,256018
57,"Mendocino County, California",87828,87553,87428,87192,87869,87649,87628,88018,87606,86749,91601,91305,89783
58,"Merced County, California",256778,259898,262305,263228,266353,268455,268672,272673,274765,277680,281202,286461,290014
59,"Monterey County, California",416682,421898,426762,428826,431344,433898,435232,437907,435594,434061,439035,437325,432858
60,"Napa County, California",136858,138088,139045,140326,141667,142456,142166,140973,139417,137744,138019,136207,134300
61,"Nevada County, California",98794,98612,98292,98200,98893,98877,99107,99814,99696,99755,102241,103487,102293
62,"Orange County, California",3018963,3055745,3090132,3114363,3145515,3169776,3172532,3190400,3185968,3175692,3186989,3167809,3151184
63,"Placer County, California",350048,357138,361682,367309,371694,375391,380531,386166,393149,398329,404739,412300,417772
64,"Riverside County, California",2203332,2239620,2268783,2292507,2329271,2361026,2387741,2423266,2450758,2470546,2418185,2458395,2473902
65,"Sacramento County, California",1421959,1436105,1450121,1462131,1482026,1501335,1514460,1530615,1540975,1552058,1585055,1588921,1584169
66,"San Bernardino County, California",2042441,2065377,2081313,2088371,2112619,2128133,2140096,2157404,2171603,2180085,2181654,2194710,2193656
67,"San Diego County, California",3105989,3140069,3177063,3211252,3263431,3299521,3317749,3337685,3343364,3338330,3298634,3286069,3276208
68,"San Francisco County, California",805463,812826,825863,837442,852469,864816,870887,884363,883305,881549,873965,815201,808437
69,"San Joaquin County, California",687744,696214,702612,704379,715597,726106,733709,745424,752660,762148,779233,789410,793229
70,"San Luis Obispo County, California",270113,271969,274804,276443,279083,281401,282887,283405,284010,283111,282424,283159,282013
71,"San Mateo County, California",720162,727209,739311,747373,758581,765135,764797,771410,769545,766573,764442,737888,729181
72,"Santa Barbara County, California",424712,426878,431249,435697,440668,444769,446170,448150,446527,446499,448229,446475,443837
73,"Santa Clara County, California",1787694,1809378,1837504,1862041,1894605,1918044,1919402,1938153,1937570,1927852,1936259,1885508,1870945
74,"Santa Cruz County, California",263054,264298,266776,269419,271804,274146,274673,275897,274255,273213,270861,267792,264370
75,"Shasta County, California",177291,177774,178586,178980,179804,179533,179631,179921,180040,180080,182155,182139,180930
76,"Solano County, California",414305,416471,420757,424788,431131,436092,440207,445458,446610,447643,453491,451716,448747
77,"Sonoma County, California",485120,488116,491829,495025,500292,502146,503070,504217,499942,494336,488863,485887,482650
78,"Stanislaus County, California",515358,518522,521726,525491,531997,538388,541560,547899,549815,550660,552878,552999,551275
79,"Sutter County, California",94806,94919,95022,95350,95847,96463,96651,96648,96807,96971,99633,99063,98503
80,"Tulare County, California",443688,449253,451977,454143,458198,459863,460437,464493,465861,466195,473117,477054,477544
81,"Ventura County, California",825706,831771,835981,839620,846178,850536,849738,854223,850967,846006,843843,839784,832605
82,"Yolo County, California",201190,202054,204118,204593,207590,213016,215802,219116,220408,220500,216403,216986,222115
83,"Yuba County, California",72388,72578,72926,73340,73966,74492,75275,77031,78041,78668,81575,83421,84310
84,"Adams County, Colorado",443715,451443,459598,469193,480718,491337,498187,503167,511868,517421,519572,522140,527575
85,"Arapahoe County, Colorado",575022,584948,595546,607070,618821,631096,637068,643052,651215,656590,655070,654900,655808
86,"Boulder County, Colorado",295166,299378,305318,310048,313333,319372,322226,322514,326078,326196,330758,329543,327468
87,"Denver County, Colorado",604414,619968,634265,649495,663862,682545,693060,704621,716492,727211,715522,711463,713252
88,"Douglas County, Colorado",287003,292167,298215,305963,314638,322387,328632,335299,342776,351154,357978,368990,375988
89,"El Paso County, Colorado",626928,636963,644964,655044,663519,674471,688284,699232,713856,720403,730395,737867,740567
90,"Jefferson County, Colorado",535533,539884,545358,551798,558503,565524,571837,574613,580233,582881,582910,579581,576143
91,"Larimer County, Colorado",300637,305525,310487,315988,324122,333577,339993,343976,350518,356899,359066,362533,366778
92,"Mesa County, Colorado",146313,147083,147848,147554,148255,148513,150083,151616,153207,154210,155703,157335,158636
93,"Pueblo County, Colorado",159477,160545,160852,161451,161875,163591,165123,166475,167529,168424,168162,169622,169544
94,"Weld County, Colorado",254270,258638,263691,269785,277670,285174,294932,304633,314305,324492,328981,340036,350176
95,"Kent County, Delaware",162912,164834,167626,169416,171987,173533,174827,176824,178550,180786,181851,184149,186946
96,"New Castle County, Delaware",538986,541971,546076,549684,552778,556779,556987,559793,559335,558753,570719,571708,575494
97,"Sussex County, Delaware",197871,200330,203390,206649,210849,215622,220251,225322,229286,234225,237378,247527,255956
98,"District of Columbia, District of Columbia",604453,617996,632323,646449,658893,672228,681170,693972,702455,705749,689545,670050,671803
99,"Alachua County, Florida",247497,249365,251417,253451,256380,259964,263496,266944,269956,269043,278468,279238,284030
100,"Bay County, Florida",169272,169856,171903,174987,178985,181635,183974,183563,185287,174705,175216,179168,185134
101,"Brevard County, Florida",543573,543566,547307,550823,556885,568088,579130,589162,596849,601942,606612,616628,630693
102,"Broward County, Florida",1753578,1780172,1815137,1838844,1869235,1896425,1909632,1935878,1951260,1952778,1944375,1930983,1947026
103,"Charlotte County, Florida",159990,160511,162449,164736,168474,173115,178465,182033,184998,188910,186847,194843,202661
104,"Citrus County, Florida",141129,140031,139360,139271,139377,141058,143621,145647,147929,149657,153843,158083,162529
105,"Clay County, Florida",191395,192370,194345,196399,199798,203967,208311,212230,216072,219252,218245,222361,226589
106,"Collier County, Florida",322472,328134,332427,339642,348777,357305,365136,372880,378488,384902,375752,385980,397994
107,"Columbia County, Florida",67597,67485,67966,67543,67857,68348,69299,69612,70503,71686,69698,70385,71908
108,"Duval County, Florida",865876,870709,879602,885855,897698,913010,926255,937934,950181,957755,995567,999935,1016536
109,"Escambia County, Florida",298043,299114,302715,305817,310659,311003,315187,313512,315534,318316,321905,322390,324878
110,"Flagler County, Florida",95928,97376,98359,99956,102408,105392,108310,110510,112067,115081,115378,120932,126705
111,"Hernando County, Florida",173008,173094,173422,174441,175855,178439,182835,186553,190865,193920,194515,200638,206896
112,"Highlands County, Florida",98700,98630,98128,97616,98236,99491,100917,102883,105424,106221,101235,103296,105618
113,"Hillsborough County, Florida",1233846,1267775,1277746,1291578,1316298,1349050,1376238,1408566,1436888,1471968,1459762,1478194,1513301
114,"Indian River County, Florida",138268,138894,140567,141994,144755,147919,151563,154383,157413,159923,159788,163662,167352
115,"Lake County, Florida",297950,301019,303186,308034,315690,325875,335396,346017,356495,367118,383956,395804,410139
116,"Lee County, Florida",620151,631330,645293,661115,679513,701982,722336,739224,754610,770577,760822,787976,822453
117,"Leon County, Florida",276058,277971,283769,281845,283988,286272,287822,290292,292502,293582,292198,292817,297369
118,"Manatee County, Florida",323435,327142,333895,342106,351746,363369,375888,385571,394855,403253,399710,412703,429125
119,"Marion County, Florida",331290,332529,335125,337362,339167,343254,349020,354353,359977,365579,375908,385915,396415
120,"Martin County, Florida",146393,147495,148817,151263,153392,156283,158701,159923,160912,161000,158431,159942,162006
121,"Miami-Dade County, Florida",2505379,2554766,2591035,2617176,2662874,2693117,2712945,2751796,2761581,2716940,2701767,2662777,2673837
122,"Monroe County, Florida",73269,73873,74809,76351,77136,77482,79077,77013,75027,74228,82874,82170,81708
123,"Nassau County, Florida",73473,74195,74629,75710,76619,78444,80622,82721,85832,88625,90352,94189,97899
124,"Okaloosa County, Florida",180728,183482,190083,193811,196512,198664,201170,202970,207269,210738,211668,213255,216482
125,"Orange County, Florida",1149500,1169107,1202234,1225267,1253001,1288126,1314367,1348975,1380645,1393452,1429908,1422746,1452726
126,"Osceola County, Florida",269837,276163,287416,298504,310211,323993,336015,352180,367990,375751,388656,403282,422545
127,"Palm Beach County, Florida",1323394,1335187,1356545,1372171,1397710,1422789,1443810,1471150,1485941,1496770,1492191,1497987,1518477
128,"Pasco County, Florida",465543,466457,470391,475502,485331,497909,512368,525643,539630,553947,561891,584067,608794
129,"Pinellas County, Florida",916719,917398,921319,929048,938098,949827,960730,970637,975280,974996,959107,956615,961739
130,"Polk County, Florida",602788,609492,616158,623009,634638,650092,666149,686483,708009,724777,725046,753520,787404
131,"Putnam County, Florida",74262,74041,73263,72577,72143,72023,72277,73464,74163,74521,73321,74167,74731
132,"St. Johns County, Florida",191323,195823,202188,209647,217919,226640,235087,243812,254261,264672,273425,292466,306841
133,"St. Lucie County, Florida",278689,280379,283866,286832,291028,298563,306507,313506,321128,328297,329226,343579,358704
134,"Santa Rosa County, Florida",151966,154104,158512,161096,163422,167040,170497,174272,179349,184313,188000,193998,198268
135,"Sarasota County, Florida",379874,382213,386147,390429,396962,405549,412569,419119,426718,433742,434006,447057,462286
136,"Seminole County, Florida",423508,425071,430838,436041,442516,449144,455479,462659,467832,471826,470856,470093,478772
137,"Sumter County, Florida",94074,97756,101620,107056,114350,118891,123996,125165,128754,132420,129752,135638,144970
138,"Volusia County, Florida",494527,494804,496950,500800,507531,517887,529364,538692,547538,553284,553543,564412,579192
139,"Barrow County, Georgia",69731,69912,70169,71453,73240,75370,77126,79061,80809,83240,83505,86658,89299
140,"Bartow County, Georgia",100195,100421,100661,101273,101736,102747,103807,105054,106408,107738,108901,110843,112816
141,"Bibb County, Georgia",155715,156433,156462,154721,153905,153721,152760,152862,153095,153159,157346,156762,156197
142,"Bulloch County, Georgia",70729,72881,72694,71214,72087,72651,74722,76149,77296,79608,81099,82442,83059
143,"Carroll County, Georgia",110661,111159,111580,112355,114093,114545,116261,117812,118121,119992,119148,121968,124592
144,"Chatham County, Georgia",265871,271544,276434,278434,283379,286956,289082,290501,289195,289430,295291,296329,301107
145,"Cherokee County, Georgia",215129,218286,221315,225106,230985,235900,241689,247573,254149,258773,266620,274615,281278
146,"Clarke County, Georgia",116668,117344,120266,121265,120938,123912,124707,127064,127330,128331,128671,128711,129875
147,"Clayton County, Georgia",259623,261532,265888,264220,267542,273955,279462,285153,289615,292256,297595,297100,296564
148,"Cobb County, Georgia",690063,697553,707442,717190,730981,741334,748150,755754,756865,760141,766149,766802,771952
149,"Columbia County, Georgia",124815,128112,131627,135416,139257,144052,147450,151579,154291,156714,156010,159639,162419
150,"Coweta County, Georgia",127955,129629,130929,133180,135571,138427,140526,143114,145864,148509,146158,149956,152882
151,"DeKalb County, Georgia",692902,699893,707089,713340,722161,734871,740321,753253,756558,759297,764382,757718,762820
152,"Dougherty County, Georgia",94577,94788,94501,92969,92407,91332,90017,89502,91243,87956,85790,84844,82966
153,"Douglas County, Georgia",132722,133355,133971,136379,138776,140733,142224,143882,145331,146343,144237,145814,147316
154,"Fayette County, Georgia",106945,107784,107524,108365,109664,110714,111627,112549,113459,114421,119194,120574,122030
155,"Floyd County, Georgia",96274,95989,96177,95821,96063,96504,96560,97613,97927,98498,98584,98771,99443
156,"Forsyth County, Georgia",176738,181840,187928,195405,204302,212438,221009,227967,236612,244252,251283,260206,267237
157,"Fulton County, Georgia",926197,949599,977773,984293,996319,1010562,1023336,1041423,1050114,1063937,1066710,1065334,1074634
158,"Glynn County, Georgia",79816,80386,81022,81508,82175,83579,84502,85282,85219,85292,84499,84739,85079
159,"Gwinnett County, Georgia",808719,824941,842046,859304,877922,895823,907135,920260,927781,936250,957062,964546,975353
160,"Hall County, Georgia",180253,183052,185416,187745,190761,193535,196637,199335,202148,204441,203136,207369,212692
161,"Henry County, Georgia",205265,207360,209053,211128,213869,217739,221768,225813,230220,234561,240712,245235,248364
162,"Houston County, Georgia",140713,143925,146136,147658,149111,150033,152122,153479,155469,157863,163633,166829,169631
163,"Lowndes County, Georgia",109734,111885,114552,112916,113523,112865,114628,115489,116321,117406,118251,119276,119739
164,"Muscogee County, Georgia",190417,194107,198413,202824,200887,200579,197485,194058,194160,195769,206922,205617,202616
165,"Newton County, Georgia",100086,100814,101505,102446,103675,105473,106999,108078,109541,111744,112483,115355,117621
166,"Paulding County, Georgia",142741,143542,144800,146950,148987,152238,155825,159445,164044,168667,168661,173780,178421
167,"Richmond County, Georgia",201005,201217,202587,202003,201368,201793,201647,201800,201554,202518,206607,205673,206640
168,"Rockdale County, Georgia",85434,85765,85820,86919,87754,88856,89355,90312,90594,90896,93570,94082,94984
169,"Troup County, Georgia",67187,67764,68468,69053,69469,69763,70005,69786,70034,69922,69426,69720,70191
170,"Walker County, Georgia",68761,68848,68094,68198,68218,68066,67896,68939,69410,69761,67654,68510,68915
171,"Walton County, Georgia",84004,84580,84575,85754,87615,88399,90184,91600,93503,94593,96673,99853,103065
172,"Whitfield County, Georgia",102934,103184,103359,102945,103542,104216,104589,104658,104062,104628,102864,102848,103132
173,"Hawaii County, Hawaii",185406,186738,189191,190821,194190,196428,198449,200381,200983,201513,200629,202906,206315
174,"Honolulu County, Hawaii",955775,963607,976372,983429,991788,998714,992605,988650,980080,974563,1016508,1000890,995638
175,"Kauai County, Hawaii",67226,67701,68434,69512,70475,71735,72029,72159,72133,72293,73298,73454,73810
176,"Maui County, Hawaii",155170,156693,158226,160195,163046,164593,165379,166271,167218,167488,164754,164268,164365
177,"Ada County, Idaho",393531,400842,409061,416464,426236,434211,444028,456849,469966,481587,494967,511931,518907
178,"Bannock County, Idaho",83071,83691,83800,83249,83347,83744,84377,85269,87138,87808,87018,88263,89517
179,"Bonneville County, Idaho",104592,105772,106684,107517,108623,110089,112232,114595,116854,119062,123964,127930,129496
180,"Canyon County, Idaho",189428,191694,193888,198871,203143,207478,211698,216699,223499,229849,231105,243115,251065
181,"Kootenai County, Idaho",138901,141132,142357,144265,147326,150346,154311,157637,161505,165697,171362,179789,183578
182,"Twin Falls County, Idaho",77517,78005,78595,79957,80914,82375,83514,85124,86081,86878,90046,92243,93696
183,"Champaign County, Illinois",201332,201685,203276,204897,207133,208861,208419,209399,209983,209689,205865,205943,206542
184,"Cook County, Illinois",5200950,5217080,5231351,5240700,5246456,5238216,5203499,5211263,5180493,5150233,5275541,5173146,5109292
185,"DeKalb County, Illinois",105201,104743,104704,104741,105462,104352,104528,104733,104143,104897,100420,100414,100232
186,"DuPage County, Illinois",918764,923222,927987,932126,932708,933736,929368,930128,928589,922921,932877,924885,920901
187,"Kane County, Illinois",516499,520271,522487,523643,527306,530847,531715,534667,534216,532403,516522,515588,514182
188,"Kankakee County, Illinois",113502,113698,113040,112120,111375,110879,110008,109605,110024,109862,107502,106601,106074
189,"Kendall County, Illinois",115304,116631,118105,119348,121350,123355,124695,126218,127915,128990,131869,134867,137254
190,"Lake County, Illinois",704596,706222,702120,703019,705186,703910,703047,703520,700832,696535,714342,711239,709150
191,"LaSalle County, Illinois",113840,113518,112973,112183,111241,111333,110642,110067,109430,108669,109658,108965,108078
192,"McHenry County, Illinois",309192,308944,308145,307409,307283,307343,307004,309122,308570,307774,310229,311122,311747
193,"McLean County, Illinois",169832,170556,172281,174647,174061,173166,172418,172290,172828,171517,170954,170889,171141
194,"Macon County, Illinois",110715,110730,110122,109278,108350,107303,106550,105801,104712,104009,103998,102432,101483
195,"Madison County, Illinois",269271,268459,267883,267225,266560,266209,265759,265428,264461,262966,265859,264490,263864
196,"Peoria County, Illinois",186311,186834,187254,188429,187319,186221,185006,183011,180621,179179,181830,179432,178383
197,"Rock Island County, Illinois",147517,147556,147457,147258,146063,146133,144784,144808,143477,141879,144672,142909,141527
