,B25091_001E,B25091_002E,B25091_003E,B25091_004E,B25091_005E,B25091_005M,B25091_006M,B25091_007M,B25091_008M,B25091_009M,B25091_010M,B25091_011M,B25091_012M,B25091_013M,B25091_014M,B25091_015M,B25091_016E,B25091_017E,B25091_018E,B25091_019E,B25091_020E,B25091_021E,B25091_022E,B25091_023E,GEO_ID,NAME,ucgid
0,23738,12654,600,2519,1511,563,734,576,261,747,656,678,48,1255,733,732,1672,622,513,344,50,429,749,63,310M600US10140,"Aberdeen, WA Micro Area",310M600US10140
1,39876,19267,1794,2498,3947,886,1148,862,465,466,563,560,53,1819,1489,966,2127,1440,660,562,353,705,1666,347,310M600US10180,"Abilene, TX Metro Area",310M600US10180
2,30129,18027,1885,4140,3270,768,738,403,401,368,441,736,32,1178,840,605,1251,718,719,159,125,383,1264,82,310M600US10300,"Adrian, MI Micro Area",310M600US10300
3,76395,21309,1790,2739,3222,1005,819,767,714,761,866,928,389,2947,2701,1527,4586,2098,1738,1601,1002,769,4212,2131,310M600US10380,"Aguadilla-Isabela, PR Metro Area",310M600US10380
4,201958,124885,14823,28535,27896,2843,2286,1804,1652,916,1227,2040,456,3934,2716,2035,8365,5014,3108,1573,1369,2036,4018,846,310M600US10420,"Akron, OH Metro Area",310M600US10420
5,17283,8568,1026,1605,959,443,673,724,481,525,343,440,216,1264,986,682,491,296,97,208,19,90,436,39,310M600US10460,"Alamogordo, NM Micro Area",310M600US10460
6,33826,18220,2295,2525,4304,1210,706,841,734,474,590,774,44,1553,1414,554,1911,1080,1049,558,209,395,402,421,310M600US10500,"Albany, GA Metro Area",310M600US10500
7,34674,22377,1439,2893,5142,1124,1211,996,705,412,578,659,135,1285,945,675,1216,762,715,92,254,344,586,136,310M600US10540,"Albany-Lebanon, OR Metro Area",310M600US10540
8,240902,145039,11770,30861,33438,2980,2404,1671,1440,1012,1273,1646,352,3827,2965,2027,10577,6517,3934,2610,1808,1647,6606,611,310M600US10580,"Albany-Schenectady-Troy, NY Metro Area",310M600US10580
9,26268,13132,1124,2674,2682,727,709,521,401,426,188,579,73,1232,964,671,1277,513,635,328,50,318,842,104,310M600US10700,"Albertville, AL Micro Area",310M600US10700
10,270261,168976,14107,35117,31716,3134,3202,2376,1893,1934,1838,2754,636,4580,3577,2071,8580,6897,3624,1899,2073,2300,5528,2154,310M600US10740,"Albuquerque, NM Metro Area",310M600US10740
11,38966,19328,1802,3810,4037,1201,798,938,494,510,293,832,189,2052,1675,917,2147,1792,704,220,284,218,1480,167,310M600US10780,"Alexandria, LA Metro Area",310M600US10780
12,233594,142811,11562,25492,31298,2892,2401,2101,1436,1314,2007,1767,273,4044,2886,1998,10978,7411,3363,2654,2814,2606,6556,1248,310M600US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M600US10900
13,36518,20091,2733,4925,4093,803,873,430,337,311,396,414,35,1178,1080,708,1158,1677,411,41,544,422,1291,280,310M600US11020,"Altoona, PA Metro Area",310M600US11020
14,66211,36666,2553,6198,8022,1371,1135,1027,1285,787,878,1006,164,2439,1767,1121,3708,2003,986,839,583,833,1396,358,310M600US11100,"Amarillo, TX Metro Area",310M600US11100
15,30439,17585,1734,2859,4334,737,698,565,343,354,255,584,170,1312,1035,681,1755,1034,359,300,177,296,404,191,310M600US11180,"Ames, IA Metro Area",310M600US11180
16,101709,70519,4945,12934,13001,1620,1730,1436,1187,830,1217,1356,249,2486,1692,1198,2872,1506,920,878,487,317,1508,838,310M600US11260,"Anchorage, AK Metro Area",310M600US11260
17,92413,58569,3986,11052,11796,1514,1360,1334,855,601,1032,1317,136,2278,1581,1041,4333,2088,1456,1314,974,1038,2830,286,310M600US11460,"Ann Arbor, MI Metro Area",310M600US11460
18,32866,14709,1392,3901,3860,1564,519,615,768,157,218,420,293,1861,1395,726,1890,804,419,297,256,150,1037,819,310M600US11500,"Anniston-Oxford, AL Metro Area",310M600US11500
19,74399,46424,4409,9971,9568,1385,1272,859,806,449,698,748,269,1741,1333,1016,3929,1321,765,890,638,403,1562,218,310M600US11540,"Appleton, WI Metro Area",310M600US11540
20,45447,12695,1461,2865,1928,791,750,670,392,317,620,599,80,2440,1958,1274,3619,1146,1055,731,591,325,2328,977,310M600US11640,"Arecibo, PR Metro Area",310M600US11640
21,132837,72626,7677,13379,13821,2227,1687,1235,1154,892,1059,1528,390,3937,2963,1532,6211,4187,1343,878,641,1346,3477,1157,310M600US11700,"Asheville, NC Metro Area",310M600US11700
22,28844,15639,1913,3390,2435,782,540,779,487,446,533,617,38,1244,1087,681,1280,1389,388,520,157,190,514,311,310M600US11780,"Ashtabula, OH Micro Area",310M600US11780
23,25020,10571,854,2120,2141,685,882,453,478,209,329,287,237,1472,1082,642,1893,923,248,738,120,424,706,297,310M600US11980,"Athens, TX Micro Area",310M600US11980
24,47519,29945,3222,6146,6409,1140,916,764,567,413,973,845,254,1676,1286,1038,853,1123,254,169,135,758,872,379,310M600US12020,"Athens-Clarke County, GA Metro Area",310M600US12020
25,1537172,1078361,112909,213359,222506,7706,7344,6500,5217,3570,4389,6144,1558,9668,7584,4969,43035,22785,10469,8031,6548,8242,24281,6748,310M600US12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",310M600US12060
26,74931,42492,2718,4943,9396,1655,1527,1252,1005,579,1342,1218,418,2404,1535,1411,4540,3269,2078,1254,1252,1152,3333,478,310M600US12100,"Atlantic City-Hammonton, NJ Metro Area",310M600US12100
27,22760,12429,1001,3034,2958,667,424,285,265,293,231,544,217,1171,545,458,1282,499,439,314,180,236,1594,108,310M600US12180,"Auburn, NY Micro Area",310M600US12180
28,47549,29136,3313,5998,6581,1418,807,1161,631,649,613,833,609,1809,1393,865,1082,794,249,81,1168,527,1389,621,310M600US12220,"Auburn-Opelika, AL Metro Area",310M600US12220
