,B25091_001E,B25091_001EA,B25091_001M,B25091_001MA,B25091_002E,B25091_002EA,B25091_002M,B25091_002MA,B25091_003E,B25091_003EA,B25091_003M,B25091_003MA,B25091_004E,B25091_004EA,B25091_004M,B25091_004MA,B25091_005E,B25091_005EA,B25091_005M,B25091_005MA,B25091_006E,B25091_006EA,B25091_006M,B25091_006MA,B25091_007E,B25091_007EA,B25091_007M,B25091_007MA,B25091_008E,B25091_008EA,B25091_008M,B25091_008MA,B25091_009E,B25091_009EA,B25091_009M,B25091_009MA,B25091_010E,B25091_010EA,B25091_010M,B25091_010MA,B25091_011E,B25091_011EA,B25091_011M,B25091_011MA,B25091_012E,B25091_012EA,B25091_012M,B25091_012MA,B25091_013E,B25091_013EA,B25091_013M,B25091_013MA,B25091_014E,B25091_014EA,B25091_014M,B25091_014MA,B25091_015E,B25091_015EA,B25091_015M,B25091_015MA,B25091_016E,B25091_016EA,B25091_016M,B25091_016MA,B25091_017E,B25091_017EA,B25091_017M,B25091_017MA,B25091_018E,B25091_018EA,B25091_018M,B25091_018MA,B25091_019E,B25091_019EA,B25091_019M,B25091_019MA,B25091_020E,B25091_020EA,B25091_020M,B25091_020MA,B25091_021E,B25091_021EA,B25091_021M,B25091_021MA,B25091_022E,B25091_022EA,B25091_022M,B25091_022MA,B25091_023E,B25091_023EA,B25091_023M,B25091_023MA,GEO_ID,NAME,ucgid
0,23738,,1412,,12654,,1641,,600,,319,,2519,,812,,1511,,563,,2687,,734,,1087,,576,,560,,261,,1000,,747,,1206,,656,,1457,,678,,27,,48,,11084,,1255,,3669,,733,,2973,,732,,1672,,735,,622,,389,,513,,464,,344,,361,,50,,65,,429,,266,,749,,561,,63,,77,,310M600US10140,"Aberdeen, WA Micro Area",310M600US10140
1,39876,,2212,,19267,,1893,,1794,,656,,2498,,605,,3947,,886,,3541,,1148,,2345,,862,,991,,465,,1058,,466,,1231,,563,,1830,,560,,32,,53,,20609,,1819,,8261,,1489,,4488,,966,,2127,,764,,1440,,582,,660,,309,,562,,369,,353,,278,,705,,487,,1666,,628,,347,,298,,310M600US10180,"Abilene, TX Metro Area",310M600US10180
2,30129,,1437,,18027,,1393,,1885,,623,,4140,,1062,,3270,,768,,2575,,738,,1042,,403,,1225,,401,,666,,368,,929,,441,,2268,,736,,27,,32,,12102,,1178,,5033,,840,,2368,,605,,1251,,347,,718,,315,,719,,379,,159,,151,,125,,128,,383,,243,,1264,,592,,82,,87,,310M600US10300,"Adrian, MI Micro Area",310M600US10300
3,76395,,3172,,21309,,2401,,1790,,673,,2739,,855,,3222,,1005,,2110,,819,,2502,,767,,1846,,714,,1402,,761,,2315,,866,,2850,,928,,533,,389,,55086,,2947,,27520,,2701,,9429,,1527,,4586,,1101,,2098,,785,,1738,,685,,1601,,776,,1002,,632,,769,,367,,4212,,1182,,2131,,688,,310M600US10380,"Aguadilla-Isabela, PR Metro Area",310M600US10380
4,201958,,4821,,124885,,5106,,14823,,2005,,28535,,2526,,27896,,2843,,15794,,2286,,11854,,1804,,7438,,1652,,3433,,916,,5233,,1227,,9319,,2040,,560,,456,,77073,,3934,,34482,,2716,,16262,,2035,,8365,,1587,,5014,,1192,,3108,,809,,1573,,501,,1369,,540,,2036,,853,,4018,,1098,,846,,663,,310M600US10420,"Akron, OH Metro Area",310M600US10420
5,17283,,1626,,8568,,1321,,1026,,449,,1605,,770,,959,,443,,1233,,673,,1299,,724,,551,,481,,648,,525,,398,,343,,849,,440,,0,,216,,8715,,1264,,5061,,986,,1978,,682,,491,,295,,296,,220,,97,,104,,208,,163,,19,,35,,90,,104,,436,,338,,39,,73,,310M600US10460,"Alamogordo, NM Micro Area",310M600US10460
6,33826,,2147,,18220,,1973,,2295,,790,,2525,,862,,4304,,1210,,1867,,706,,2047,,841,,982,,734,,627,,474,,1162,,590,,2384,,774,,27,,44,,15606,,1553,,7314,,1414,,2267,,554,,1911,,696,,1080,,550,,1049,,632,,558,,299,,209,,181,,395,,318,,402,,251,,421,,387,,310M600US10500,"Albany, GA Metro Area",310M600US10500
7,34674,,1964,,22377,,1809,,1439,,522,,2893,,840,,5142,,1124,,3975,,1211,,2965,,996,,1923,,705,,789,,412,,1157,,578,,2008,,659,,86,,135,,12297,,1285,,6015,,945,,2177,,675,,1216,,496,,762,,449,,715,,447,,92,,93,,254,,237,,344,,405,,586,,376,,136,,211,,310M600US10540,"Albany-Lebanon, OR Metro Area",310M600US10540
8,240902,,4595,,145039,,4999,,11770,,1592,,30861,,2930,,33438,,2980,,24364,,2404,,13493,,1671,,7824,,1440,,4964,,1012,,5831,,1273,,12062,,1646,,432,,352,,95863,,3827,,42029,,2965,,19524,,2027,,10577,,1502,,6517,,1197,,3934,,990,,2610,,931,,1808,,506,,1647,,551,,6606,,1072,,611,,397,,310M600US10580,"Albany-Schenectady-Troy, NY Metro Area",310M600US10580
9,26268,,1877,,13132,,1695,,1124,,400,,2674,,688,,2682,,727,,1757,,709,,1329,,521,,650,,401,,748,,426,,383,,188,,1731,,579,,54,,73,,13136,,1232,,6792,,964,,2277,,671,,1277,,459,,513,,283,,635,,545,,328,,213,,50,,64,,318,,188,,842,,417,,104,,109,,310M600US10700,"Albertville, AL Micro Area",310M600US10700
