year,state,designatedArea,county_fips,number_of_disasters,rank
2011,NH,Belknap (County),33001,1,1
2011,NH,Carroll (County),33003,1,2
2011,NH,Coos (County),33007,1,3
2011,NH,Grafton (County),33009,1,4
2011,NH,Merrimack (County),33013,1,5
2011,NH,Strafford (County),33017,1,6
2011,NH,Sullivan (County),33019,1,7
2012,WA,Chelan (County),53007,4,1
2012,OK,Creek (County),40037,2,2
2012,OK,Payne (County),40119,2,3
2012,CA,Campo Indian Reservation,06000,1,4
2012,CA,Lake (County),06033,1,5
2012,CA,San Diego (County),06073,1,6
2012,CA,Shasta (County),06089,1,7
2012,CA,Tehama (County),06103,1,8
2012,ID,Boise (County),16015,1,9
2012,ID,Elmore (County),16039,1,10
2012,MT,Jefferson (County),30043,1,11
2012,MT,Ravalli (County),30081,1,12
2012,NE,Dawes (County),31045,1,13
2012,NE,Sheridan (County),31161,1,14
2012,NE,Sioux (County),31165,1,15
2012,OK,Oklahoma (County),40109,1,16
2012,SD,Oglala Lakota (County),46113,1,17
2012,WA,Kittitas (County),53037,1,18
2012,WA,Klickitat (County),53039,1,19
2012,WY,Natrona (County),56025,1,20
2013,CA,Riverside (County),06065,3,1
2013,AZ,Yavapai (County),04025,2,2
2013,OR,Josephine (County),41033,2,3
2013,AZ,Mohave (County),04015,1,4
2013,CA,Los Angeles (County),06037,1,5
2013,CA,Mariposa (County),06043,1,6
2013,CA,Shasta (County),06089,1,7
2013,CA,Tuolumne (County),06109,1,8
2013,CA,Ventura (County),06111,1,9
2013,CO,El Paso (County),08041,1,10
2013,CO,Fremont (County),08043,1,11
2013,CO,Mineral (County),08079,1,12
2013,CO,Rio Grande (County),08105,1,13
2013,ID,Blaine (County),16013,1,14
2013,ID,Camas (County),16025,1,15
2013,ID,Elmore (County),16039,1,16
2013,MT,Mineral (County),30061,1,17
2013,MT,Missoula (County),30063,1,18
2013,NM,San Miguel (County),35047,1,19
2013,NV,Clark (County),32003,1,20
2013,OR,Douglas (County),41019,1,21
2013,OR,Hood River (County),41027,1,22
2013,OR,Wasco (County),41065,1,23
2013,UT,Summit (County),49043,1,24
2013,VT,Chittenden (County),50007,1,25
2013,WA,Chelan (County),53007,1,26
2014,CA,Madera (County),06039,2,1
2014,CA,San Diego (County),06073,2,2
2014,CA,Shasta (County),06089,2,3
2014,CA,Siskiyou (County),06093,2,4
2014,OR,Klamath (County),41035,2,5
2014,WA,Kittitas (County),53037,2,6
2014,AZ,Coconino (County),04005,1,7
2014,CA,El Dorado (County),06017,1,8
2014,CA,Kern (County),06029,1,9
2014,CA,Lassen (County),06035,1,10
2014,CA,Los Angeles (County),06037,1,11
2014,CA,Mariposa (County),06043,1,12
2014,CA,Modoc (County),06049,1,13
2014,CA,Napa (County),06055,1,14
2014,CA,Placer (County),06061,1,15
2014,CA,Trinity (County),06105,1,16
2014,OK,Logan (County),40083,1,17
2014,OR,Clackamas (County),41005,1,18
2014,OR,Jackson (County),41029,1,19
2014,OR,Wasco (County),41065,1,20
2014,TX,Hutchinson (County),48233,1,21
2014,UT,Tooele (County),49045,1,22
2014,WA,Chelan (County),53007,1,23
2014,WA,Lincoln (County),53043,1,24
2014,WA,Okanogan (County),53047,1,25
2014,WA,Spokane (County),53063,1,26
2015,WA,Okanogan (County),53047,4,1
2015,WA,Ferry (County),53019,3,2
2015,CA,Lake (County),06033,2,3
2015,CA,Napa (County),06055,2,4
2015,ID,Idaho (County),16049,2,5
2015,OR,Baker (County),41001,2,6
